Job Title,Salary Estimate,salary_min,salary_max,salary_avg,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
DATA Analyst-Remote,99-178 ,99,178,138.5,-1.0,SGA Inc.,"San Francisco, CA","Bethesda, MD",1 to 50 employees,1996,Company - Private,Architectural & Engineering Services,Business Services,$1 to $5 million (USD),-1,0
Data Analyst,99-178 ,99,178,138.5,4.1,"Veem
4.1","San Francisco, CA","San Francisco, CA",51 to 200 employees,2014,Company - Private,Financial Transaction Processing,Finance,$1 to $5 million (USD),-1,0
Operations Data Analyst,99-178 ,99,178,138.5,4.0,"Coinbase
4.0","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,1
Product Data Analyst,99-178 ,99,178,138.5,3.6,"Trifacta
3.6","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Paxata, Datameer, Informatica",0
Data Scientist/Analyst - Wilbur Labs,99-178 ,99,178,138.5,5.0,"Wilbur Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0
Data Analyst,99-178 ,99,178,138.5,4.4,"Hinge Health
4.4","San Francisco, CA","San Francisco, CA",201 to 500 employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,0
Marketing Data Analyst,99-178 ,99,178,138.5,3.3,"User Testing
3.3","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"UserZoom, Validately",0
Data Analyst,99-178 ,99,178,138.5,-1.0,Pair-Tek,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
Data and Reporting Analyst,99-178 ,99,178,138.5,3.8,"Shorenstein Realty Services L.P.
3.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,1924,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1,0
Business Data Analyst,99-178 ,99,178,138.5,3.5,"PlushCare
3.5","San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),-1,0
Research Data Analyst,99-178 ,99,178,138.5,4.1,"UCSF Medical Center
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,1907,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Stanford Health Care, Dignity Health, Sutter Health",0
Data Analyst,99-178 ,99,178,138.5,4.6,"Motiv Power Systems
4.6","San Francisco, CA","Foster City, CA",51 to 200 employees,2009,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1,0
Data Analyst,99-178 ,99,178,138.5,4.2,"Upstart
4.2","San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,1
Business Intelligence Data Modeler/Analyst,99-178 ,99,178,138.5,4.3,"Credible
4.3","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Public,Lending,Finance,Unknown / Non-Applicable,-1,0
Data Studio Analyst,99-178 ,99,178,138.5,5.0,"Priceonomics
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Less than $1 million (USD),-1,0
Data Analyst,99-178 ,99,178,138.5,-1.0,"Applicantz, Inc.","San Francisco, CA","Houston, TX",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,0
Product Data Analyst,99-178 ,99,178,138.5,3.7,"BOLD
3.7","San Francisco, CA","Guaynabo, PR",201 to 500 employees,2004,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,1
Data Analyst,99-178 ,99,178,138.5,-1.0,Parsoft LLC,"San Francisco, CA","Louisville, KY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,0
Clinical Data Analyst,99-178 ,99,178,138.5,4.0,"Flatiron Health
4.0","San Francisco, CA","New York, NY",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0
Data Analyst,99-178 ,99,178,138.5,3.9,"thredUP
3.9","Oakland, CA","Oakland, CA",1001 to 5000 employees,2009,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,0
Data Analyst,99-178 ,99,178,138.5,3.9,"Artech LLC
3.9","San Francisco, CA","Morristown, NJ",5001 to 10000 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,0
Data Analyst,99-178 ,99,178,138.5,3.6,"ICONMA
3.6","San Francisco, CA","Troy, MI",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Experis,0
Data Systems Analyst,99-178 ,99,178,138.5,4.1,"UCSF Medical Center
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,1907,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Stanford Health Care, Dignity Health, Sutter Health",0
Data Analyst,99-178 ,99,178,138.5,4.6,"The Voleon Group
4.6","Berkeley, CA","Berkeley, CA",51 to 200 employees,2007,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0
Senior Data Analyst,99-178 ,99,178,138.5,3.4,"Redfin
3.4","San Francisco, CA","Seattle, WA",1001 to 5000 employees,2004,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,"Zillow, Trulia, Coldwell Banker",0
Data Analyst (College & Foundation Reporting),99-178 ,99,178,138.5,-1.0,Albany Charter School Network,"Oakland, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
