work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,"Senior Data Analyst, Disney+",,USA,66500.0,66500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Office of the CAO | Reference Data, Project Manager/Business Analyst",,USA,66500.0,66500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Business Data Analyst,,USA,66500.0,66500.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst,,USA,66500.0,66500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Scientist / Big Data Analytics Analyst,,USA,66500.0,66500.0,,,,,"Weehawken, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Reporting Analyst,,USA,66500.0,66500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,"Principal Data Analyst, LATAM - Disney Streaming Services",,USA,66500.0,66500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst II,,USA,66500.0,66500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst - Environmental, Social, and Governance",,USA,66500.0,66500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,66500.0,66500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,"Data Analyst, Revenue Analytics",,USA,69500.0,69500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst - Data Acquisition / Data Lineage,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst - Data Scanning utilizing Rochade,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst - Stitching,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Junior Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Retail Media",,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Portfolio Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Science Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data/Reporting Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
